property_id,location,latitude,longitude,builder_name,property_type,furnishing,listing_type,sqft,bedrooms,bathrooms,balconies,parking,floor,total_floors,age,amenities_count,distance_metro,distance_school,distance_hospital,distance_cbd,connectivity_score,safety_score,school_score,price,demand_score,liquidity_score,roi,market_trend,listing_date
BLR-10015,Koramangala,12.928574,77.628744,Puravankara,Apartment,Fully-furnished,Resale,658,2,2,0,1,12,17,25,14,1.51,6.94,9.68,6.05,8.5,8,9,14624552,33,39,7.75,0.0926,2021-06-18
BLR-10016,Sarjapur Road,12.906898,77.691495,Salarpuria Sattva,Villa,Semi-furnished,New Launch,2887,3,2,3,2,2,3,13,20,3.9,0.55,4.53,12.73,6.5,10,9,34092979,55,71,16.16,0.1359,2023-09-22
BLR-10017,Jayanagar,12.937084,77.587265,Brigade Group,Villa,Semi-furnished,Resale,4517,3,4,2,2,3,3,10,8,1.38,7.53,6.87,3.92,8.9,7,7,101401893,66,51,3.0,0.0558,2023-04-02
BLR-10018,Hennur,13.033002,77.65236,Brigade Group,Villa,Fully-furnished,Ready to Move,3704,4,3,3,2,1,4,25,4,2.99,5.38,6.31,9.26,7.4,6,9,34500905,48,28,15.65,0.1028,2022-08-31
BLR-10019,Hennur,13.051077,77.637736,Prestige Group,Builder Floor,Semi-furnished,Resale,798,2,1,2,1,7,21,15,5,6.45,1.91,8.1,10.0,5.9,9,5,7377508,47,84,10.85,0.1401,2023-02-18
BLR-10020,Hennur,13.038772,77.631951,Shriram Properties,Apartment,Unfurnished,New Launch,2312,5,4,0,1,15,18,24,17,5.39,2.34,1.05,8.49,6.6,7,8,15209745,79,44,11.06,0.1424,2020-05-11
BLR-10021,KR Puram,13.0065,77.708449,Assetz Property Group,Apartment,Semi-furnished,Ready to Move,2722,5,4,0,1,7,9,24,14,4.34,7.55,3.2,12.93,6.3,8,8,15947267,58,87,14.82,0.1232,2022-06-11
BLR-10022,Malleswaram,12.999873,77.55615,Sobha Ltd,Apartment,Semi-furnished,Ready to Move,1876,5,5,1,0,5,7,12,15,0.58,3.8,0.79,5.22,9.0,7,6,33462995,83,57,5.65,0.0801,2022-08-21
BLR-10023,Whitefield,12.961339,77.755884,Brigade Group,Penthouse,Unfurnished,Resale,2713,4,3,2,1,16,16,7,9,1.19,5.42,5.77,17.51,6.9,7,5,44146053,44,45,15.75,0.1479,2020-08-09
BLR-10024,Kanakapura Road,12.869382,77.562646,Assetz Property Group,Apartment,Semi-furnished,Resale,1777,5,4,2,0,2,9,3,5,10.17,4.61,0.7,11.88,4.1,5,8,13595052,83,87,12.09,0.1263,2022-01-11
BLR-10025,Rajajinagar,12.988695,77.557746,Puravankara,Penthouse,Semi-furnished,Resale,4283,3,4,3,2,29,29,23,4,0.98,3.72,7.58,4.42,8.9,7,4,84053387,92,52,6.28,0.0613,2021-06-13
BLR-10026,Jayanagar,12.912792,77.575448,Puravankara,Apartment,Semi-furnished,New Launch,2941,4,4,2,0,2,9,23,17,2.01,4.03,7.99,6.86,8.2,10,5,38043741,90,95,7.07,0.0619,2022-05-21
BLR-10027,Devanahalli,13.126698,77.713739,Brigade Group,Apartment,Unfurnished,New Launch,2358,4,3,1,0,2,10,10,8,7.16,3.98,7.33,21.54,3.9,7,4,13873842,76,47,17.07,0.1681,2023-12-21
BLR-10028,Devanahalli,13.125632,77.712332,Mantri Developers,Apartment,Fully-furnished,New Launch,686,1,1,2,1,6,7,3,17,9.4,1.64,0.8,21.35,3.0,5,7,6621711,36,44,19.04,0.159,2023-02-26
BLR-10029,JP Nagar,12.909931,77.588989,Mantri Developers,Apartment,Semi-furnished,New Launch,1516,2,1,2,0,20,22,24,11,4.34,7.92,3.26,6.88,7.2,10,4,15802795,57,58,7.45,0.0996,2020-11-17
BLR-10030,Bannerghatta Road,12.874852,77.597035,Mantri Developers,Apartment,Unfurnished,Ready to Move,807,1,1,1,1,16,17,1,4,7.5,7.41,7.94,10.76,5.4,6,7,7371850,49,59,11.57,0.1496,2020-05-26
BLR-10031,Indiranagar,12.957676,77.633068,Sobha Ltd,Apartment,Semi-furnished,New Launch,1759,4,3,0,1,10,17,8,3,2.69,5.93,6.16,4.45,8.3,10,10,39235167,32,59,9.11,0.0846,2024-04-11
BLR-10032,Sarjapur Road,12.919656,77.691707,Sobha Ltd,Apartment,Unfurnished,Resale,2311,4,4,2,0,16,16,15,7,5.3,5.61,3.1,12.0,6.1,9,4,19050742,71,39,13.2,0.1682,2022-04-07
BLR-10033,Basavanagudi,12.953625,77.573241,Prestige Group,Builder Floor,Fully-furnished,New Launch,504,3,2,1,1,2,4,19,8,1.7,1.22,3.09,3.06,8.9,5,9,8805597,50,64,6.68,0.0831,2023-02-05
BLR-10034,KR Puram,13.022456,77.696947,Mantri Developers,Apartment,Semi-furnished,New Launch,964,2,2,2,1,4,7,16,17,2.71,4.5,4.02,12.45,7.0,6,10,6966564,83,68,16.41,0.1661,2022-11-05
BLR-10035,Marathahalli,12.955589,77.71158,Mantri Developers,Builder Floor,Semi-furnished,New Launch,1658,4,3,0,1,16,17,10,12,5.28,7.85,2.62,12.8,6.0,8,4,15090677,78,74,11.31,0.1393,2024-06-10
BLR-10036,HSR Layout,12.917881,77.649095,Brigade Group,Apartment,Semi-furnished,New Launch,651,1,1,0,1,4,17,0,4,2.61,7.76,3.58,8.4,7.7,7,10,11762716,70,87,10.74,0.1223,2020-03-14
BLR-10037,Hennur,13.043121,77.631126,Prestige Group,Apartment,Unfurnished,Resale,1677,3,3,1,0,6,6,14,3,3.27,0.64,3.78,8.88,7.4,8,8,11892180,52,35,11.26,0.1366,2022-02-22
BLR-10038,Hennur,13.040567,77.641427,Mantri Developers,Villa,Unfurnished,Resale,3838,5,2,1,2,2,4,14,11,5.74,1.43,4.58,9.2,6.3,10,7,33681690,68,50,13.2,0.16,2024-10-13
BLR-10039,Malleswaram,12.995404,77.573858,Prestige Group,Apartment,Unfurnished,Ready to Move,2062,4,3,2,1,1,12,8,17,2.53,7.24,7.82,3.47,8.5,6,9,29394294,47,37,4.75,0.0842,2023-08-16
BLR-10040,Indiranagar,12.965076,77.631136,Brigade Group,Apartment,Semi-furnished,Resale,2305,2,1,2,1,1,7,10,19,2.65,3.05,5.17,4.02,8.3,8,10,46913279,44,84,11.09,0.1078,2020-10-15
BLR-10041,Bannerghatta Road,12.876345,77.591344,Godrej Properties,Builder Floor,Semi-furnished,Ready to Move,2127,4,4,1,0,2,3,14,20,5.05,5.18,3.9,10.6,6.4,9,8,17333294,38,84,14.27,0.1546,2021-09-10
BLR-10042,KR Puram,13.014448,77.706711,Shriram Properties,Apartment,Unfurnished,New Launch,685,1,1,1,0,1,6,17,15,5.11,5.87,8.89,13.05,6.0,9,7,5408050,77,52,12.96,0.1366,2021-04-28
BLR-10043,BTM Layout,12.925209,77.601256,Assetz Property Group,Apartment,Unfurnished,Resale,2004,4,4,1,0,4,11,14,2,0.49,2.8,9.89,5.21,9.0,9,5,21025220,59,67,12.69,0.1165,2024-06-03
BLR-10044,Hennur,13.052452,77.639583,Puravankara,Apartment,Unfurnished,Ready to Move,1092,1,1,0,0,6,6,4,20,3.27,1.56,0.81,10.23,7.2,10,4,9801214,95,38,15.45,0.1271,2021-03-29
BLR-10045,Hennur,13.033986,77.64253,Mantri Developers,Apartment,Semi-furnished,Resale,2635,4,3,2,1,1,3,12,4,7.29,2.71,1.74,8.67,5.8,9,8,18975410,97,62,12.67,0.1272,2023-05-24
BLR-10046,KR Puram,12.999379,77.70939,Sobha Ltd,Apartment,Fully-furnished,Resale,968,3,3,1,1,8,17,10,12,3.99,5.39,3.93,12.82,6.5,5,4,9262313,42,72,11.65,0.1587,2023-02-13
BLR-10047,Indiranagar,12.963282,77.645902,Prestige Group,Villa,Fully-furnished,New Launch,4100,5,3,3,2,1,3,21,11,1.88,2.94,5.91,5.64,8.4,6,10,101098881,77,39,10.92,0.0958,2023-03-21
BLR-10048,Bannerghatta Road,12.885254,77.579953,Brigade Group,Builder Floor,Semi-furnished,Resale,2797,2,1,0,1,5,8,10,20,7.26,0.74,7.49,9.73,5.6,9,5,22619564,50,72,13.18,0.1187,2021-10-26
BLR-10049,Kanakapura Road,12.863755,77.546127,Assetz Property Group,Villa,Semi-furnished,New Launch,2015,3,2,3,1,1,4,8,16,6.73,1.88,5.27,13.09,5.3,10,9,18931813,69,30,15.69,0.1332,2023-05-12
BLR-10050,Indiranagar,12.976941,77.636825,Brigade Group,Apartment,Semi-furnished,New Launch,1734,3,3,1,0,6,12,0,14,1.69,1.99,5.72,4.61,8.6,8,10,52006339,88,34,8.05,0.1017,2023-03-25
BLR-10051,KR Puram,13.012466,77.697419,Mantri Developers,Villa,Unfurnished,Ready to Move,4706,5,3,2,1,1,3,10,13,1.62,6.79,2.66,12.03,7.5,8,10,34427135,72,46,13.38,0.1146,2023-07-20
BLR-10052,Koramangala,12.943385,77.624324,Assetz Property Group,Apartment,Unfurnished,Resale,1294,2,1,2,0,5,23,3,6,3.11,5.31,2.02,4.5,8.1,9,10,21465832,71,65,8.77,0.0491,2020-05-19
BLR-10053,Malleswaram,13.006322,77.561334,Godrej Properties,Apartment,Semi-furnished,Resale,1740,4,4,1,1,3,19,14,4,2.01,7.82,1.18,5.28,8.4,9,8,27506011,35,82,8.17,0.0845,2023-03-16
BLR-10054,Hebbal,13.047938,77.595422,Mantri Developers,Apartment,Semi-furnished,Resale,2448,3,3,1,0,3,6,16,16,2.76,4.96,3.83,8.49,7.6,7,9,23850132,72,33,13.52,0.0998,2023-02-16
BLR-10055,Yelahanka,13.097,77.60505,Salarpuria Sattva,Apartment,Fully-furnished,Ready to Move,2968,3,2,0,1,5,21,9,6,7.95,7.52,3.3,13.99,4.7,6,9,20594193,97,36,19.63,0.1688,2022-05-17
BLR-10056,Basavanagudi,12.952254,77.58521,Sobha Ltd,Apartment,Unfurnished,Resale,1985,4,4,0,1,13,13,6,11,4.3,0.99,7.78,2.38,7.9,5,9,25862862,46,73,10.36,0.0593,2021-01-05
BLR-10057,Hennur,13.04427,77.648853,Mantri Developers,Builder Floor,Semi-furnished,Ready to Move,1178,3,2,0,0,12,16,14,9,4.74,2.61,8.14,9.99,6.6,7,9,9595304,89,61,16.89,0.1467,2022-10-26
BLR-10058,Basavanagudi,12.954359,77.56312,Shriram Properties,Apartment,Fully-furnished,Ready to Move,1163,1,1,1,1,4,4,17,5,1.78,6.15,2.95,3.91,8.7,8,4,16128660,87,69,6.55,0.1058,2022-04-29
BLR-10059,Indiranagar,12.977782,77.630364,Lodha Group,Apartment,Fully-furnished,Ready to Move,2031,3,2,0,0,4,14,10,6,0.59,2.44,8.35,3.94,9.2,10,7,47185874,40,27,5.04,0.0654,2024-09-06
BLR-10060,HSR Layout,12.913182,77.648559,Assetz Property Group,Apartment,Unfurnished,New Launch,2993,5,5,1,0,5,10,1,16,0.78,6.73,5.15,8.74,8.4,9,5,48843303,30,70,9.04,0.0844,2022-05-03
BLR-10061,Sarjapur Road,12.901644,77.689288,Salarpuria Sattva,Villa,Fully-furnished,Resale,2150,5,3,1,1,3,4,12,13,4.54,0.33,7.95,12.88,6.3,10,4,26983820,72,42,16.15,0.1127,2023-01-23
BLR-10062,Jayanagar,12.919468,77.578102,Prestige Group,Builder Floor,Semi-furnished,Ready to Move,1217,3,2,2,0,6,18,2,11,0.76,6.37,8.89,6.07,8.8,8,10,27354581,54,61,4.77,0.0514,2024-05-18
BLR-10063,Indiranagar,12.978712,77.628568,Mantri Developers,Builder Floor,Unfurnished,Resale,1859,4,4,1,1,13,16,12,13,2.79,4.25,8.07,3.76,8.3,9,10,29340360,43,35,7.06,0.0697,2021-08-28
BLR-10064,JP Nagar,12.913797,77.5755,Prestige Group,Apartment,Fully-furnished,Resale,2245,3,2,1,1,2,17,19,4,3.45,3.37,5.28,6.75,7.6,5,5,23332267,86,29,10.75,0.0676,2021-04-28
BLR-10065,BTM Layout,12.905003,77.61717,Shriram Properties,Apartment,Fully-furnished,New Launch,2823,2,2,2,1,12,17,14,13,1.77,5.27,2.72,7.8,8.1,8,8,32983895,63,58,10.93,0.1122,2021-03-15
BLR-10066,Hennur,13.039199,77.628525,Lodha Group,Apartment,Semi-furnished,Resale,2511,3,3,0,0,4,5,22,13,5.97,4.49,3.12,8.37,6.4,10,9,16809764,95,53,15.56,0.1073,2021-02-15
BLR-10067,HSR Layout,12.912871,77.652675,Sobha Ltd,Apartment,Fully-furnished,Resale,2523,2,1,2,1,12,21,25,4,1.89,8.0,7.27,9.07,7.9,9,4,30383192,39,82,9.22,0.0979,2022-11-25
BLR-10068,BTM Layout,12.926978,77.602618,Lodha Group,Apartment,Unfurnished,Resale,2758,3,3,1,0,2,19,16,9,1.58,7.54,8.98,5.04,8.6,10,8,23427393,98,36,11.38,0.1002,2020-12-11
BLR-10069,Kanakapura Road,12.881856,77.565931,Lodha Group,Plot,Semi-furnished,Ready to Move,1231,0,0,0,1,0,0,21,20,3.37,6.94,1.09,10.45,7.1,7,9,6305349,33,88,16.0,0.1733,2023-01-22
BLR-10070,JP Nagar,12.917145,77.580279,Salarpuria Sattva,Villa,Semi-furnished,Resale,3037,4,2,3,2,2,3,2,17,2.48,2.85,1.69,6.25,8.1,7,7,46860951,43,65,8.59,0.0745,2020-09-07
BLR-10071,Marathahalli,12.973979,77.699904,Lodha Group,Apartment,Fully-furnished,Ready to Move,1077,1,1,1,1,14,15,7,20,4.47,1.68,1.85,11.41,6.5,7,7,11924183,94,83,14.62,0.138,2021-03-16
BLR-10072,Kanakapura Road,12.864378,77.554817,Salarpuria Sattva,Apartment,Semi-furnished,Ready to Move,707,2,1,2,1,22,23,9,6,10.94,5.87,7.71,12.68,3.7,9,8,5800522,39,74,15.87,0.1503,2024-04-14
BLR-10073,Devanahalli,13.118808,77.722119,Puravankara,Apartment,Fully-furnished,Ready to Move,986,1,1,1,1,13,14,17,18,9.01,0.51,0.68,21.42,3.2,9,7,6876718,47,66,21.25,0.2059,2021-10-14
BLR-10074,Sarjapur Road,12.910178,77.685207,Salarpuria Sattva,Apartment,Semi-furnished,Ready to Move,1725,4,3,2,1,10,21,0,20,5.08,7.21,8.76,11.96,6.2,7,9,22364645,59,31,16.43,0.145,2020-12-15
BLR-10075,Basavanagudi,12.954816,77.584885,Brigade Group,Villa,Unfurnished,Resale,4338,4,2,3,1,1,2,6,15,3.61,3.4,7.82,2.14,8.2,10,9,63748056,56,66,5.97,0.1099,2022-09-06
BLR-10076,Basavanagudi,12.950335,77.579847,Godrej Properties,Apartment,Semi-furnished,Ready to Move,1209,2,1,2,1,11,14,19,19,1.84,7.54,9.83,2.85,8.8,10,9,18341537,65,61,8.36,0.0573,2023-10-17
BLR-10077,Devanahalli,13.118285,77.702118,Mantri Developers,Apartment,Fully-furnished,Ready to Move,2116,4,4,1,0,3,4,11,8,7.02,4.4,9.35,20.04,4.2,9,9,12270010,97,53,16.7,0.1883,2020-04-17
BLR-10078,Koramangala,12.921975,77.632562,Mantri Developers,Apartment,Fully-furnished,Ready to Move,2434,2,2,0,1,6,20,20,8,3.1,2.44,3.07,6.88,7.7,10,8,33659150,34,47,9.17,0.0651,2024-09-11
BLR-10079,Sarjapur Road,12.92079,77.675837,Godrej Properties,Plot,Semi-furnished,Ready to Move,748,0,0,0,2,0,0,25,3,2.09,4.63,1.34,10.46,7.6,10,8,4682581,47,89,17.22,0.1381,2021-01-29
BLR-10080,Koramangala,12.940278,77.615043,Assetz Property Group,Apartment,Semi-furnished,Resale,2379,4,4,0,1,13,13,18,14,3.36,4.22,1.14,4.13,8.0,6,7,33874317,63,74,5.74,0.0541,2024-03-23
BLR-10081,Marathahalli,12.971793,77.712534,Prestige Group,Plot,Semi-furnished,Ready to Move,1836,0,0,0,1,0,0,8,5,3.06,1.45,6.95,12.78,6.9,7,9,10881167,67,72,14.41,0.1169,2021-03-24
BLR-10082,HSR Layout,12.914025,77.631453,Sobha Ltd,Apartment,Unfurnished,Ready to Move,2363,4,3,2,0,16,20,24,18,2.51,5.69,1.06,7.55,7.9,9,8,26019474,51,66,10.76,0.1213,2022-06-23
BLR-10083,Koramangala,12.920853,77.617134,Assetz Property Group,Villa,Unfurnished,New Launch,4736,5,3,1,1,3,3,14,3,2.37,5.45,3.29,6.15,8.1,5,9,81714760,84,69,4.51,0.082,2023-01-13
BLR-10084,Indiranagar,12.984413,77.637525,Brigade Group,Plot,Unfurnished,Resale,882,0,0,0,2,0,0,1,15,1.25,7.15,4.65,4.86,8.8,5,9,18574373,47,69,11.12,0.0571,2023-01-05
BLR-10085,Yelahanka,13.109984,77.593877,Godrej Properties,Apartment,Unfurnished,Resale,1412,1,1,1,1,14,17,7,8,11.37,5.86,1.39,15.39,3.1,5,5,9328351,34,82,13.71,0.1659,2023-12-11
BLR-10086,Indiranagar,12.964007,77.652488,Assetz Property Group,Apartment,Semi-furnished,Resale,681,2,1,0,0,7,20,4,12,1.82,6.23,8.24,6.33,8.3,10,8,15682294,37,47,7.1,0.0876,2022-05-24
BLR-10087,Devanahalli,13.121573,77.725442,Mantri Developers,Apartment,Semi-furnished,Ready to Move,1910,5,4,2,0,14,16,9,9,13.49,2.55,7.16,21.89,1.3,9,7,13399894,47,74,18.9,0.1646,2021-02-20
BLR-10088,Jayanagar,12.926766,77.583182,Prestige Group,Villa,Semi-furnished,New Launch,3642,4,2,3,1,3,2,8,4,0.73,6.14,7.33,5.14,8.9,7,6,94490871,54,40,3.11,0.0748,2024-03-24
BLR-10089,Malleswaram,13.003884,77.564718,Salarpuria Sattva,Plot,Semi-furnished,Ready to Move,1437,0,0,0,2,0,0,7,16,1.69,3.0,2.84,4.83,8.6,5,10,18366856,70,51,6.29,0.0522,2022-04-27
BLR-10090,Indiranagar,12.977445,77.63392,Salarpuria Sattva,Villa,Unfurnished,Resale,2706,5,2,1,2,2,4,9,20,2.53,4.09,6.65,4.31,8.3,8,9,69266024,51,70,8.43,0.0602,2024-01-15
BLR-10091,Devanahalli,13.115935,77.718003,Sobha Ltd,Apartment,Unfurnished,New Launch,2720,2,2,0,0,2,24,13,6,5.09,4.14,3.92,20.89,4.8,9,7,12932716,98,95,15.11,0.1747,2020-02-04
BLR-10092,Basavanagudi,12.929571,77.587479,Assetz Property Group,Penthouse,Semi-furnished,Resale,4694,4,3,3,1,20,20,3,18,1.64,2.96,8.01,4.74,8.6,8,8,101846668,68,35,9.88,0.0892,2024-10-23
BLR-10093,Indiranagar,12.984475,77.633093,Lodha Group,Apartment,Semi-furnished,New Launch,2053,5,4,0,0,1,23,2,20,2.94,7.8,8.98,4.41,8.2,10,8,50068504,39,60,5.33,0.104,2023-02-28
BLR-10094,Indiranagar,12.979092,77.649915,Assetz Property Group,Apartment,Unfurnished,New Launch,1788,2,2,2,1,7,7,2,14,2.1,4.42,4.02,6.05,8.3,10,9,36807685,74,31,10.22,0.0559,2021-04-20
BLR-10095,Electronic City,12.853365,77.657361,Salarpuria Sattva,Apartment,Unfurnished,New Launch,2939,5,4,0,1,9,23,15,15,2.67,4.77,3.99,14.8,6.7,6,9,17748926,78,44,13.88,0.1644,2021-10-10
BLR-10096,BTM Layout,12.904392,77.613041,Shriram Properties,Apartment,Unfurnished,New Launch,521,2,1,1,0,2,11,2,18,1.81,0.4,3.73,7.74,8.1,7,10,9025687,79,35,9.04,0.1135,2023-02-19
BLR-10097,Bannerghatta Road,12.863651,77.584598,Salarpuria Sattva,Villa,Semi-furnished,Resale,2494,5,3,1,2,1,3,8,10,5.37,3.98,1.05,12.05,6.0,10,7,27626221,43,42,11.37,0.1183,2022-03-21
BLR-10098,Jayanagar,12.932046,77.587787,Mantri Developers,Builder Floor,Semi-furnished,Ready to Move,2056,4,3,1,1,5,16,10,12,0.7,3.31,3.4,4.46,9.1,9,10,33224250,80,71,5.63,0.0368,2023-02-28
BLR-10099,Hebbal,13.02798,77.588424,Sobha Ltd,Villa,Unfurnished,Ready to Move,4034,3,4,3,2,1,4,22,15,3.46,1.29,3.24,6.3,7.7,8,10,45755309,91,76,11.14,0.1121,2024-11-16
BLR-10100,KR Puram,13.002562,77.69702,Salarpuria Sattva,Apartment,Semi-furnished,Resale,1972,2,2,0,1,22,24,5,12,7.76,3.56,0.4,11.62,5.2,9,8,13964556,87,72,15.03,0.1335,2024-04-30
BLR-10101,Kanakapura Road,12.867888,77.557085,Brigade Group,Villa,Unfurnished,Ready to Move,2417,4,2,2,2,1,3,2,13,5.81,3.75,2.31,12.23,5.8,8,9,26396811,68,30,14.23,0.1686,2020-08-23
BLR-10102,Whitefield,12.974519,77.746767,Mantri Developers,Builder Floor,Unfurnished,New Launch,947,3,3,2,0,9,10,17,9,4.89,5.11,2.11,16.49,5.6,10,8,9037875,84,74,12.15,0.0903,2021-03-15
BLR-10103,Hebbal,13.032176,77.587227,Mantri Developers,Apartment,Semi-furnished,Resale,756,3,3,2,1,6,8,6,18,4.84,2.64,4.07,6.78,7.0,7,10,10853783,68,35,9.21,0.1203,2021-10-03
BLR-10104,Koramangala,12.948121,77.614697,Salarpuria Sattva,Apartment,Semi-furnished,New Launch,979,1,1,2,1,5,7,13,7,2.1,4.39,9.22,3.4,8.6,6,7,15064673,87,31,5.31,0.0919,2020-01-20
BLR-10105,Malleswaram,13.011922,77.56677,Puravankara,Apartment,Unfurnished,New Launch,2072,5,4,2,1,14,18,15,11,0.29,1.95,3.1,5.4,9.1,8,8,32147288,64,94,7.01,0.0794,2022-01-21
BLR-10106,Devanahalli,13.110572,77.727819,Godrej Properties,Builder Floor,Fully-furnished,Ready to Move,670,3,2,2,0,7,9,23,3,9.5,2.92,8.22,21.14,3.0,6,5,4893314,74,79,19.12,0.16,2020-10-12
BLR-10107,Hebbal,13.044855,77.587868,Assetz Property Group,Builder Floor,Fully-furnished,Resale,743,3,2,2,0,10,11,10,10,4.78,4.21,9.03,8.18,6.9,8,4,10797758,46,41,14.07,0.095,2023-12-27
BLR-10108,Jayanagar,12.921072,77.597308,Sobha Ltd,Builder Floor,Semi-furnished,New Launch,2108,5,5,2,1,9,23,12,14,1.64,2.37,9.38,5.63,8.5,7,8,30686818,41,83,8.42,0.0681,2023-11-29
BLR-10109,BTM Layout,12.922077,77.596552,Assetz Property Group,Builder Floor,Fully-furnished,Resale,2689,5,5,1,1,8,9,10,6,2.39,3.99,3.63,5.51,8.2,5,9,31855041,45,45,10.22,0.0965,2020-01-02
BLR-10110,KR Puram,13.001824,77.701365,Brigade Group,Apartment,Unfurnished,Ready to Move,1040,3,2,0,1,2,11,8,3,3.77,2.58,7.08,12.05,6.7,10,4,6196771,46,53,14.34,0.1412,2022-06-30
BLR-10111,Whitefield,12.978004,77.757495,Sobha Ltd,Apartment,Semi-furnished,Ready to Move,1907,2,1,2,0,4,7,7,5,2.22,7.07,1.63,17.66,6.5,6,9,21236967,97,26,10.0,0.1266,2020-12-02
BLR-10112,Rajajinagar,12.995332,77.545134,Sobha Ltd,Apartment,Unfurnished,Resale,1372,3,3,1,1,22,22,6,20,2.24,2.94,4.47,5.97,8.2,10,4,20735390,66,28,8.21,0.0909,2023-09-10
BLR-10113,JP Nagar,12.919318,77.574659,Assetz Property Group,Apartment,Semi-furnished,Resale,2985,3,2,1,0,2,23,15,4,2.78,7.83,9.87,6.2,8.0,9,7,26401997,90,34,10.78,0.061,2020-05-18
BLR-10114,Whitefield,12.970139,77.740996,Shriram Properties,Apartment,Semi-furnished,Resale,663,1,1,2,1,11,12,13,19,3.89,2.36,3.31,15.86,6.1,6,8,8517822,38,64,13.11,0.1319,2024-02-03
BLR-10115,Bannerghatta Road,12.870992,77.587601,Brigade Group,Apartment,Semi-furnished,Ready to Move,853,2,2,1,0,20,22,9,5,2.1,1.27,0.41,11.21,7.5,9,10,9009462,77,41,11.81,0.145,2024-11-23
BLR-10116,Marathahalli,12.961107,77.696931,Sobha Ltd,Penthouse,Semi-furnished,New Launch,2983,3,4,3,1,23,23,8,17,3.0,3.01,5.15,11.15,7.1,7,10,41591313,44,54,12.02,0.1244,2020-01-06
BLR-10117,Indiranagar,12.966498,77.65098,Shriram Properties,Builder Floor,Fully-furnished,Ready to Move,550,1,1,1,0,7,14,5,15,0.83,2.14,9.18,6.14,8.7,9,6,14234762,36,47,9.71,0.0634,2022-11-22
