property_id,location,latitude,longitude,builder_name,property_type,furnishing,listing_type,sqft,bedrooms,bathrooms,balconies,parking,floor,total_floors,age,amenities_count,distance_metro,distance_school,distance_hospital,distance_cbd,connectivity_score,safety_score,school_score,price,demand_score,liquidity_score,roi,market_trend,listing_date,price_per_sqft,listing_year,listing_month,location_score,amenity_index,age_bucket,trend_category,distance_composite,proximity_score,roi_estimate,furnish_numeric,luxury_score,value_ratio,location_encoded,builder_name_encoded,property_type_encoded,furnishing_encoded,listing_type_encoded,trend_category_encoded,predicted_price,price_gap,price_gap_pct,cluster,segment_label,valuation_label,sell_signal
BLR-10241,BTM Layout,12.931475,77.596211,Godrej Properties,Apartment,Semi-furnished,Ready to Move,2293,3,3,0,0,1,9,15,17,2.28,6.71,4.66,4.47,8.4,5,6,26657450,45,52,7.3,0.1184,2023-09-28,11625.58,2023,9,6.66,0.85,3,Warm,4.19,6.9,15.65,1,0.45,1.257,0,2,0,1,1,3,26615728.0,41722.0,0.16,0,Mid-range,Fair Value,HOLD
BLR-10313,BTM Layout,12.916745,77.619162,Brigade Group,Builder Floor,Semi-furnished,Resale,1371,3,2,0,1,2,8,2,19,4.0,7.05,2.35,6.66,7.4,10,6,20245423,87,59,13.86,0.0848,2021-10-20,14766.9,2021,10,7.76,0.95,0,Cool,4.945,6.34,14.6,1,0.47,0.955,0,1,1,1,2,1,20359830.0,-114407.0,-0.56,3,Premium,Fair Value,HOLD
BLR-10366,BTM Layout,12.908463,77.614169,Godrej Properties,Penthouse,Fully-furnished,New Launch,3520,5,4,3,2,20,20,11,15,2.23,5.8,9.26,7.33,8.0,5,6,63658437,41,35,9.19,0.0746,2021-05-06,18084.78,2021,5,6.5,0.75,3,Cool,5.625,5.84,10.56,2,0.849,3.001,0,2,2,0,0,1,63568340.0,90097.0,0.14,1,Emerging High-Growth,Fair Value,SELL
BLR-10394,BTM Layout,12.92731,77.622614,Assetz Property Group,Apartment,Fully-furnished,Ready to Move,791,1,1,1,1,9,18,20,17,0.45,6.9,4.19,5.79,9.0,6,7,10920750,70,72,12.91,0.075,2022-04-26,13806.26,2022,4,7.5,0.85,3,Cool,3.823,7.17,13.16,2,0.56,0.515,0,0,0,0,1,1,10948372.0,-27622.0,-0.25,3,Premium,Fair Value,SELL
BLR-10397,BTM Layout,12.915143,77.607692,Brigade Group,Builder Floor,Unfurnished,Resale,2439,3,3,0,1,3,3,8,4,1.31,0.84,8.78,6.44,8.5,6,9,27265597,36,36,8.29,0.1237,2022-05-27,11179.01,2022,5,7.9,0.2,2,Warm,3.992,7.05,15.25,0,0.246,1.286,0,1,1,2,2,3,27167816.0,97781.0,0.36,0,Mid-range,Fair Value,HOLD
BLR-10410,BTM Layout,12.918449,77.606668,Lodha Group,Apartment,Unfurnished,Ready to Move,1381,3,2,1,1,7,7,3,8,2.02,6.4,9.02,6.05,8.3,9,5,16134380,65,34,7.72,0.1044,2023-08-16,11683.11,2023,8,7.52,0.4,1,Warm,5.304,6.08,14.71,0,0.283,0.761,0,3,0,2,1,3,16159397.0,-25017.0,-0.15,3,Premium,Fair Value,HOLD
BLR-10422,BTM Layout,12.922166,77.60909,Assetz Property Group,Builder Floor,Unfurnished,Ready to Move,2101,5,4,1,1,1,9,19,13,1.37,7.76,5.14,5.72,8.6,6,8,21903846,50,63,11.37,0.0992,2020-05-12,10425.44,2020,5,7.64,0.65,3,Cool,4.49,6.68,14.31,0,0.389,1.033,0,0,1,2,1,1,21459880.0,443966.0,2.07,0,Mid-range,Fair Value,SELL
BLR-10439,BTM Layout,12.930117,77.609686,Shriram Properties,Builder Floor,Fully-furnished,Resale,1402,2,1,1,0,10,20,16,18,0.69,2.9,4.29,4.89,9.0,5,5,18243203,96,54,12.89,0.0883,2023-02-06,13012.27,2023,2,6.6,0.9,3,Cool,2.902,7.85,15.25,2,0.559,0.86,0,8,1,0,2,1,17295512.0,947691.0,5.48,3,Premium,Fair Value,HOLD
BLR-10472,BTM Layout,12.904038,77.616828,Prestige Group,Apartment,Unfurnished,Resale,2409,2,1,0,0,1,6,23,7,3.22,1.9,3.93,7.89,7.5,6,6,21940747,54,41,11.5,0.0886,2022-02-15,9107.82,2022,2,6.6,0.35,4,Cool,4.266,6.84,12.79,0,0.232,1.034,0,5,0,2,2,1,21542548.0,398199.0,1.85,0,Mid-range,Fair Value,SELL
BLR-10475,BTM Layout,12.915293,77.612379,Mantri Developers,Builder Floor,Fully-furnished,Resale,532,1,1,1,0,6,13,5,19,0.99,0.37,8.15,6.55,8.6,8,9,9516822,62,72,12.84,0.1061,2022-09-15,17888.76,2022,9,8.54,0.95,1,Warm,3.688,7.27,15.87,2,0.519,0.449,0,4,1,0,2,3,9617230.0,-100408.0,-1.04,0,Mid-range,Fair Value,BUY
BLR-10513,BTM Layout,12.908367,77.597566,Puravankara,Plot,Semi-furnished,Ready to Move,994,0,0,0,2,0,0,15,6,1.11,1.21,9.44,7.04,8.5,5,9,7825660,43,56,13.21,0.0836,2021-01-13,7872.9,2021,1,7.6,0.3,3,Cool,4.278,6.84,12.19,1,0.335,0.369,0,6,3,1,1,1,7802435.0,23225.0,0.3,0,Mid-range,Fair Value,SELL
BLR-10534,BTM Layout,12.928956,77.61199,Assetz Property Group,Apartment,Fully-furnished,Ready to Move,2510,3,2,0,1,1,14,25,5,3.44,0.91,6.65,5.1,7.9,10,8,24000520,55,61,12.3,0.0892,2022-07-06,9561.96,2022,7,8.56,0.25,4,Cool,3.991,7.05,13.5,2,0.463,1.132,0,0,0,0,1,1,24023838.0,-23318.0,-0.1,0,Mid-range,Fair Value,SELL
BLR-10559,BTM Layout,12.910016,77.605323,Puravankara,Builder Floor,Unfurnished,Ready to Move,1024,2,1,0,1,2,3,13,12,2.65,7.23,4.92,6.95,7.9,7,9,9956043,71,54,7.89,0.1125,2023-06-02,9722.7,2023,6,7.96,0.6,3,Warm,5.095,6.23,16.42,0,0.261,0.469,0,6,1,2,1,3,10331608.0,-375565.0,-3.64,3,Premium,Fair Value,HOLD
BLR-10572,BTM Layout,12.909196,77.599229,Mantri Developers,Apartment,Fully-furnished,Ready to Move,2876,5,4,1,1,13,14,4,19,1.81,7.7,1.14,6.96,8.2,7,9,41361903,51,30,12.28,0.0906,2024-10-26,14381.75,2024,10,8.08,0.95,1,Cool,4.142,6.94,12.51,2,0.71,1.95,0,4,0,0,1,1,41310584.0,51319.0,0.12,1,Emerging High-Growth,Fair Value,SELL
BLR-10574,BTM Layout,12.901618,77.618908,Mantri Developers,Apartment,Fully-furnished,Resale,2117,5,5,2,1,12,14,22,6,3.39,7.18,2.13,8.22,7.4,9,10,20882236,39,64,8.01,0.0845,2022-04-11,9864.07,2022,4,8.66,0.3,4,Cool,5.104,6.22,12.32,2,0.552,0.985,0,4,0,0,2,1,20782382.0,99854.0,0.48,0,Mid-range,Fair Value,SELL
BLR-10583,BTM Layout,12.902527,77.59709,Puravankara,Apartment,Fully-furnished,New Launch,2983,3,3,1,1,17,22,20,18,1.36,6.23,4.5,7.69,8.3,5,9,36370224,35,72,8.02,0.0866,2021-07-29,12192.5,2021,7,7.52,0.9,3,Cool,4.544,6.64,12.57,2,0.704,1.715,0,6,0,0,0,1,36226890.0,143334.0,0.4,1,Emerging High-Growth,Fair Value,SELL
BLR-10599,BTM Layout,12.902341,77.601661,Prestige Group,Builder Floor,Unfurnished,New Launch,2759,5,5,1,1,3,5,6,5,0.84,5.75,2.92,7.74,8.5,9,6,28355520,88,69,9.82,0.1073,2021-08-06,10277.46,2021,8,7.9,0.25,2,Warm,3.963,7.07,17.2,0,0.328,1.337,0,5,1,2,0,3,28886512.0,-530992.0,-1.84,3,Premium,Fair Value,BUY
BLR-10600,BTM Layout,12.920106,77.603373,Mantri Developers,Apartment,Fully-furnished,Resale,2617,2,1,1,0,2,16,4,10,0.83,6.14,2.2,5.8,8.8,6,4,32802828,47,49,7.08,0.0951,2021-01-31,12534.52,2021,1,6.52,0.5,1,Cool,3.408,7.48,13.33,2,0.532,1.547,0,4,0,0,2,1,33183654.0,-380826.0,-1.15,0,Mid-range,Fair Value,SELL
BLR-10615,BTM Layout,12.912141,77.605305,Shriram Properties,Apartment,Unfurnished,Resale,1275,3,2,2,0,3,3,2,19,1.02,7.93,7.65,6.71,8.6,8,10,19525359,95,76,7.72,0.0827,2021-01-24,15314.01,2021,1,8.84,0.95,0,Cool,5.15,6.19,15.3,0,0.414,0.921,0,8,0,2,2,1,19450324.0,75035.0,0.39,3,Premium,Fair Value,SELL
BLR-10626,BTM Layout,12.918279,77.613508,Godrej Properties,Apartment,Fully-furnished,Resale,904,2,1,2,0,1,15,18,10,3.3,6.11,6.78,6.27,7.7,9,5,10983822,30,44,13.84,0.1275,2021-11-01,12150.25,2021,11,7.28,0.5,3,Warm,5.3,6.08,15.57,2,0.479,0.518,0,2,0,0,2,3,11164483.0,-180661.0,-1.62,0,Mid-range,Fair Value,HOLD
BLR-10628,BTM Layout,12.917649,77.617258,Brigade Group,Apartment,Unfurnished,New Launch,1487,3,2,1,0,7,10,22,9,1.82,0.54,4.83,6.48,8.3,5,9,16715614,47,53,10.84,0.1143,2021-03-23,11241.17,2021,3,7.52,0.45,4,Warm,3.331,7.54,15.37,0,0.252,0.788,0,1,0,2,0,3,16127649.0,587965.0,3.65,0,Mid-range,Fair Value,BUY
BLR-10629,BTM Layout,12.923993,77.623248,Assetz Property Group,Apartment,Unfurnished,Ready to Move,1550,2,1,0,1,11,11,6,5,0.65,2.15,6.1,6.14,8.8,6,4,18202256,51,25,8.94,0.1256,2022-09-29,11743.39,2022,9,6.52,0.25,2,Warm,3.412,7.48,15.86,0,0.206,0.858,0,0,0,2,1,3,18683710.0,-481454.0,-2.58,0,Mid-range,Fair Value,BUY
BLR-10638,BTM Layout,12.910904,77.600207,Shriram Properties,Penthouse,Semi-furnished,Ready to Move,3626,5,3,3,1,27,27,7,9,3.97,3.08,0.78,6.78,7.4,9,7,62193215,35,85,10.87,0.0732,2021-03-01,17152.02,2021,3,7.76,0.45,2,Cool,3.857,7.15,11.62,1,0.63,2.932,0,8,2,1,1,1,61791684.0,401531.0,0.65,1,Emerging High-Growth,Fair Value,SELL
BLR-10655,BTM Layout,12.905206,77.620399,Puravankara,Apartment,Fully-furnished,Ready to Move,798,1,1,2,0,14,18,21,18,1.46,2.83,9.26,7.89,8.2,7,7,11191135,69,90,8.68,0.0863,2020-03-24,14023.98,2020,3,7.48,0.9,4,Cool,4.902,6.37,14.78,2,0.573,0.528,0,6,0,0,1,1,11144254.0,46881.0,0.42,3,Premium,Fair Value,SELL
BLR-10677,BTM Layout,12.905896,77.620335,Sobha Ltd,Builder Floor,Fully-furnished,Ready to Move,1186,2,1,0,0,5,5,25,6,1.0,0.69,2.24,7.82,8.4,5,9,12400188,78,26,7.65,0.1231,2022-11-30,10455.47,2022,11,7.56,0.3,4,Warm,2.891,7.86,16.99,2,0.346,0.585,0,9,1,0,1,3,12338514.0,61674.0,0.5,3,Premium,Fair Value,BUY
BLR-10728,BTM Layout,12.916915,77.624245,Lodha Group,Apartment,Fully-furnished,Ready to Move,2638,3,2,0,0,2,12,24,6,3.78,6.31,3.8,6.88,7.5,5,7,24769871,41,42,9.04,0.0993,2022-02-27,9389.64,2022,2,6.6,0.3,4,Cool,5.065,6.25,13.24,2,0.433,1.168,0,3,0,0,1,1,24835748.0,-65877.0,-0.27,0,Mid-range,Fair Value,SELL
BLR-10762,BTM Layout,12.930684,77.603481,Sobha Ltd,Plot,Semi-furnished,New Launch,1181,0,0,0,1,0,0,2,19,1.34,1.42,3.82,4.65,8.8,6,7,14905315,88,58,10.54,0.086,2023-10-25,12620.93,2023,10,7.42,0.95,0,Cool,2.68,8.02,14.74,1,0.458,0.703,0,9,3,1,0,1,14872571.0,32744.0,0.22,3,Premium,Fair Value,HOLD
BLR-10764,BTM Layout,12.927,77.600946,Brigade Group,Builder Floor,Unfurnished,Resale,2299,2,2,1,0,11,13,1,6,0.54,1.65,4.79,5.01,9.0,8,4,30871629,45,52,8.59,0.1158,2022-12-19,13428.29,2022,12,7.2,0.3,0,Warm,2.73,7.98,15.39,0,0.263,1.456,0,1,1,2,2,3,31118470.0,-246841.0,-0.79,0,Mid-range,Fair Value,BUY
BLR-10826,BTM Layout,12.927423,77.619712,Lodha Group,Apartment,Fully-furnished,New Launch,747,3,3,2,1,9,13,24,11,1.97,2.12,6.61,5.62,8.4,6,8,10235772,74,39,8.3,0.0761,2021-08-17,13702.51,2021,8,7.56,0.55,4,Cool,3.841,7.16,12.48,2,0.532,0.483,0,3,0,0,0,1,10247336.0,-11564.0,-0.11,3,Premium,Fair Value,SELL
BLR-10840,BTM Layout,12.917815,77.607238,Shriram Properties,Villa,Semi-furnished,Resale,3236,3,3,1,1,1,2,18,20,3.71,0.91,8.11,6.14,7.6,10,6,40668123,82,57,12.62,0.0987,2022-05-26,12567.41,2022,5,7.84,1.0,3,Cool,4.638,6.57,15.68,1,0.644,1.917,0,8,4,1,2,1,39909040.0,759083.0,1.9,1,Emerging High-Growth,Fair Value,HOLD
BLR-10855,BTM Layout,12.918001,77.597509,Sobha Ltd,Apartment,Unfurnished,Ready to Move,1551,3,3,1,1,23,24,25,5,2.78,4.98,7.81,5.97,8.0,6,7,14800762,84,54,13.0,0.0884,2021-11-21,9542.72,2021,11,7.1,0.25,4,Cool,5.023,6.28,14.66,0,0.256,0.698,0,9,0,2,1,1,15135777.0,-335015.0,-2.21,3,Premium,Fair Value,HOLD
BLR-10881,BTM Layout,12.92269,77.598096,Assetz Property Group,Apartment,Unfurnished,New Launch,768,1,1,0,0,9,22,18,5,2.47,1.61,4.63,5.45,8.2,7,5,7144555,84,60,7.9,0.0984,2020-11-05,9302.81,2020,11,6.88,0.25,3,Cool,3.475,7.43,15.84,0,0.109,0.337,0,0,0,2,0,1,7683804.5,-539249.5,-7.02,3,Premium,Fair Value,SELL
BLR-10924,BTM Layout,12.927892,77.609678,Sobha Ltd,Penthouse,Fully-furnished,Resale,3713,4,3,2,1,21,21,14,20,1.55,2.1,2.94,5.13,8.6,8,7,65969444,61,66,9.85,0.1122,2023-03-26,17767.15,2023,3,7.94,1.0,3,Warm,2.833,7.9,16.25,2,0.823,3.11,0,9,2,0,2,3,71864340.0,-5894896.0,-8.2,1,Emerging High-Growth,Fair Value,BUY
BLR-10939,BTM Layout,12.922569,77.612222,Assetz Property Group,Villa,Unfurnished,New Launch,3452,4,3,3,2,1,3,8,8,0.69,7.42,9.82,5.78,8.9,8,9,51515637,65,34,10.79,0.0855,2023-12-17,14923.42,2023,12,8.66,0.4,2,Cool,5.134,6.2,12.82,0,0.557,2.429,0,0,4,2,0,1,51366890.0,148747.0,0.29,1,Emerging High-Growth,Fair Value,SELL
BLR-10963,BTM Layout,12.906447,77.600068,Sobha Ltd,Penthouse,Fully-furnished,Ready to Move,4844,4,4,2,2,30,30,23,15,0.54,0.22,0.43,7.27,8.7,9,9,82028267,39,61,10.95,0.1235,2020-07-21,16933.99,2020,7,8.88,0.75,4,Warm,2.136,8.42,16.13,2,0.878,3.867,0,9,2,0,1,3,82041790.0,-13523.0,-0.02,1,Emerging High-Growth,Fair Value,HOLD
BLR-10965,BTM Layout,12.912927,77.607565,Puravankara,Plot,Fully-furnished,Resale,721,0,0,0,2,0,0,22,15,1.7,3.79,6.12,6.67,8.3,8,4,6624433,80,55,13.98,0.0867,2024-07-19,9187.84,2024,7,6.92,0.75,4,Cool,4.244,6.86,14.32,2,0.531,0.312,0,6,3,0,2,1,6706162.0,-81729.0,-1.22,2,Budget,Fair Value,HOLD
BLR-10968,BTM Layout,12.927349,77.618884,Godrej Properties,Penthouse,Semi-furnished,Resale,4062,5,4,3,1,20,20,15,4,1.4,0.55,2.4,5.58,8.6,9,6,62660149,72,68,8.25,0.0738,2024-01-18,15425.94,2024,1,7.94,0.2,3,Cool,2.475,8.17,13.02,1,0.594,2.954,0,2,2,1,2,1,62738390.0,-78241.0,-0.12,1,Emerging High-Growth,Fair Value,SELL
BLR-10992,BTM Layout,12.916877,77.623772,Godrej Properties,Apartment,Unfurnished,Ready to Move,606,2,1,0,0,1,18,2,5,3.4,0.24,8.24,6.86,7.6,8,10,7687150,95,81,7.28,0.1167,2020-07-29,12685.07,2020,7,8.44,0.25,0,Warm,4.601,6.6,18.85,0,0.099,0.362,0,2,0,2,1,3,9427400.0,-1740250.0,-18.46,3,Premium,Underpriced,BUY
BLR-10997,BTM Layout,12.923215,77.612988,Assetz Property Group,Apartment,Unfurnished,Resale,2790,2,2,1,0,19,20,21,16,1.23,7.36,2.62,5.74,8.6,5,6,28256652,74,88,10.87,0.1171,2023-04-28,10127.83,2023,4,6.74,0.8,4,Warm,3.862,7.14,18.05,0,0.417,1.332,0,0,0,2,2,3,27677604.0,579048.0,2.09,3,Premium,Fair Value,BUY
BLR-11026,BTM Layout,12.908897,77.596602,Prestige Group,Apartment,Unfurnished,Ready to Move,2379,3,3,0,0,5,5,24,16,0.38,5.61,4.94,6.98,8.8,5,6,25073489,44,35,11.48,0.1245,2021-11-04,10539.51,2021,11,6.82,0.8,4,Warm,3.988,7.05,15.7,0,0.343,1.182,0,5,0,2,1,3,25417974.0,-344485.0,-1.36,0,Mid-range,Fair Value,BUY
BLR-11047,BTM Layout,12.908198,77.608713,Mantri Developers,Apartment,Unfurnished,Resale,1901,2,1,2,0,2,16,18,11,1.57,2.99,7.63,7.21,8.3,5,10,17427903,43,78,10.32,0.0973,2021-05-21,9167.76,2021,5,7.82,0.55,3,Cool,4.476,6.69,14.22,0,0.352,0.822,0,4,0,2,2,1,18164784.0,-736881.0,-4.06,0,Mid-range,Fair Value,SELL
BLR-11051,BTM Layout,12.921007,77.602562,Godrej Properties,Apartment,Unfurnished,Resale,2411,3,3,0,1,11,25,18,8,3.61,4.27,7.16,5.69,7.7,9,6,21220405,34,45,12.57,0.1099,2023-04-13,8801.5,2023,4,7.58,0.4,3,Warm,4.972,6.32,14.04,0,0.295,1.0,0,2,0,2,2,3,21512320.0,-291915.0,-1.36,0,Mid-range,Fair Value,HOLD
BLR-11060,BTM Layout,12.930261,77.615117,Brigade Group,Apartment,Unfurnished,Ready to Move,1349,2,2,0,1,17,20,23,6,1.1,5.31,7.26,5.11,8.8,5,6,13511766,78,47,9.74,0.0997,2021-02-23,10016.13,2021,2,6.82,0.3,4,Cool,4.176,6.91,15.28,0,0.206,0.637,0,1,0,2,1,1,13587967.0,-76201.0,-0.56,3,Premium,Fair Value,HOLD
BLR-11075,BTM Layout,12.910766,77.603513,Puravankara,Apartment,Fully-furnished,Ready to Move,2700,5,5,2,0,2,11,20,2,3.39,6.39,7.9,6.83,7.6,10,10,24079146,84,47,7.02,0.1007,2021-01-19,8918.2,2021,1,9.04,0.1,3,Warm,5.752,5.75,15.68,2,0.487,1.135,0,6,0,0,1,3,24163502.0,-84356.0,-0.35,3,Premium,Fair Value,BUY
BLR-11080,BTM Layout,12.910123,77.601325,Godrej Properties,Apartment,Semi-furnished,Resale,1834,2,1,0,1,17,20,0,10,2.38,5.84,2.05,6.87,8.0,7,8,30609907,96,66,13.88,0.0711,2021-07-23,16690.24,2021,7,7.7,0.5,0,Cool,4.128,6.95,13.89,1,0.385,1.443,0,2,0,1,2,1,27557124.0,3052783.0,11.08,3,Premium,Overpriced,HOLD
BLR-11100,BTM Layout,12.930405,77.61493,Mantri Developers,Villa,Fully-furnished,New Launch,2369,5,4,3,2,3,3,4,3,2.9,1.43,0.6,5.08,8.1,7,8,38892576,46,57,10.45,0.1183,2023-02-13,16417.3,2023,2,7.74,0.15,1,Warm,2.691,8.01,15.84,2,0.63,1.834,0,4,4,0,0,3,38971936.0,-79360.0,-0.2,1,Emerging High-Growth,Fair Value,BUY
BLR-11107,BTM Layout,12.91815,77.609489,Shriram Properties,Apartment,Fully-furnished,New Launch,2289,4,3,2,1,11,12,15,2,2.56,3.31,3.44,6.16,8.1,7,9,24870172,90,67,9.28,0.0788,2021-04-18,10865.08,2021,4,8.04,0.1,3,Cool,3.786,7.2,14.39,2,0.512,1.173,0,8,0,0,0,1,24942778.0,-72606.0,-0.29,3,Premium,Fair Value,HOLD
BLR-11108,BTM Layout,12.90421,77.615675,Assetz Property Group,Villa,Semi-furnished,Ready to Move,2132,4,3,2,2,3,4,19,17,1.32,5.73,9.66,7.83,8.3,10,9,28328579,50,79,10.69,0.0966,2024-04-06,13287.33,2024,4,9.02,0.85,3,Cool,5.498,5.93,14.53,1,0.64,1.336,0,0,4,1,1,1,30842230.0,-2513651.0,-8.15,0,Mid-range,Fair Value,SELL
BLR-11115,BTM Layout,12.91712,77.614423,Godrej Properties,Apartment,Unfurnished,Resale,1127,3,2,1,0,3,6,10,19,0.96,6.12,7.67,6.43,8.7,10,8,16170822,85,69,10.08,0.0928,2021-10-15,14348.56,2021,10,8.88,0.95,2,Cool,4.702,6.52,15.6,0,0.355,0.762,0,2,0,2,2,1,15874099.0,296723.0,1.87,3,Premium,Fair Value,HOLD
BLR-11125,BTM Layout,12.905845,77.610297,Mantri Developers,Villa,Semi-furnished,Ready to Move,2428,4,2,3,1,1,3,21,20,3.8,5.72,8.06,7.51,7.4,9,7,30345490,41,41,11.08,0.1103,2021-02-05,12498.14,2021,2,7.76,1.0,4,Warm,5.964,5.59,14.31,1,0.696,1.431,0,4,4,1,1,3,32513444.0,-2167954.0,-6.67,1,Emerging High-Growth,Fair Value,BUY
BLR-11168,BTM Layout,12.905641,77.610978,Mantri Developers,Apartment,Unfurnished,New Launch,1938,4,3,0,0,4,12,16,8,2.48,1.34,7.28,7.55,7.9,7,7,16641039,60,85,12.54,0.1122,2022-09-14,8586.71,2022,9,7.36,0.4,3,Warm,4.48,6.69,16.77,0,0.216,0.785,0,4,0,2,0,3,17002906.0,-361867.0,-2.13,0,Mid-range,Fair Value,BUY
BLR-11173,BTM Layout,12.905413,77.610916,Prestige Group,Apartment,Unfurnished,New Launch,678,2,2,2,0,6,23,10,19,3.26,6.83,2.41,7.57,7.6,7,10,9319752,34,73,11.44,0.118,2022-05-02,13745.95,2022,5,8.14,0.95,2,Warm,4.882,6.39,15.69,0,0.378,0.439,0,5,0,2,0,3,9494075.0,-174323.0,-1.84,0,Mid-range,Fair Value,HOLD
BLR-11183,BTM Layout,12.924314,77.604434,Puravankara,Plot,Fully-furnished,Resale,1537,0,0,0,1,0,0,15,9,1.63,7.27,8.8,5.36,8.5,10,10,12777483,81,69,8.26,0.0829,2022-03-01,8313.26,2022,3,9.4,0.45,3,Cool,5.124,6.21,14.41,2,0.455,0.602,0,6,3,0,2,1,12625615.0,151868.0,1.2,3,Premium,Fair Value,HOLD
